Estado,Ubicacion,Precio_MXN,Recamaras,Banos,Superficie_m2,URL_Propiedad,Latitud,Longitud,Direccion_Buscada
Aguascalientes,"Venta de casa Cerro del Laurel, Jardines de la Concepción I, Aguascalientes, Ags., Col. Jardines de la Concepción, Aguascalientes, Aguascalientes, México, C.P. 20120, ID: 30400465",850000.0,4.0,3.0,360.0,https://propiedades.com/inmuebles/casa-en-venta-cerro-del-laurel-jardines-de-la-concepcion-i-aguascalientes-ags-jardines-de-la-concepcion-aguascalientes-30400465,,,
Aguascalientes,"Casa en venta, , Col. Misión del Campanario, Aguascalientes, Aguascalientes, México, C.P. 20118, ID: 29607249",5590000.0,4.0,3.0,170.0,https://propiedades.com/inmuebles/casa-en-venta-mision-del-campanario-aguascalientes-29607249,,,
Aguascalientes,"Se vende casa , Col. Residencial Tres Arroyos, Jesús María, Aguascalientes, México, C.P. 20926, ID: 29607275",2900000.0,3.0,2.0,105.0,,,,
Aguascalientes,"Venta de casa CALLE CUESTA DE LA RIBERA 212 , Col. Flores Magón, Jesús María, Aguascalientes, México, C.P. 20923, ID: 28486791",500000.0,3.0,2.0,90.0,https://propiedades.com/inmuebles/casa-en-venta-calle-cuesta-de-la-ribera-212-flores-magon-aguascalientes-28486791,,,
Aguascalientes,"Casa en venta, GAMBITO N152, Col. Fundadores, Aguascalientes, Aguascalientes, México, C.P. 20299, ID: 28486816",500000.0,3.0,1.0,76.0,https://propiedades.com/inmuebles/casa-en-venta-gambito-n152-fundadores-aguascalientes-28486816,,,
Aguascalientes,"Venta de casa en , Col. Parras, Aguascalientes, Aguascalientes, México, C.P. 20157, ID: 29607439",2650000.0,3.0,2.0,162.0,https://propiedades.com/inmuebles/casa-en-venta-parras-aguascalientes-29607439,,,
Aguascalientes,"Casa en venta, , Col. Las Arboledas, Aguascalientes, Aguascalientes, México, C.P. 20020, ID: 29607257",3400000.0,3.0,2.0,278.0,https://propiedades.com/inmuebles/casa-en-venta-las-arboledas-aguascalientes-29607257,,,
Aguascalientes,"Casa en venta disponible en Colibrí 216 #216, Col. La Estancia, Aguascalientes, Aguascalientes, México, C.P. 20284, ID: 28955360",440000.0,2.0,1.0,97.0,,,,
Aguascalientes,"Venta de casa en , Col. Loretta, Aguascalientes, Aguascalientes, México, C.P. 20326, ID: 29607466",6700000.0,3.0,4.0,320.0,,,,
Aguascalientes,", Col. Pensadores Mexicanos, Aguascalientes, Aguascalientes, México, C.P. 20179, ID: 29607236",1500000.0,4.0,2.0,179.0,https://propiedades.com/inmuebles/casa-en-venta-pensadores-mexicanos-aguascalientes-29607236,,,
