clave_estado,estado,clave_municipio,municipio,Total_Creditos,Total_Monto_MXN,Ticket_Promedio_MXN,Creditos_Mujer,Creditos_Hombre,Pct_Creditos_Mujeres
30,Veracruz de Ignacio de la Llave,012,Amatitlán,275,36518192.3906496,132793.43,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,013,Naranjos Amatlán,814,270398400.8985008,332184.77,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,014,Amatlán de los Reyes,2288,343130887.6410928,149969.79,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,015,Angel R. Cabada,1106,207452048.45953122,187569.66,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,016,La Antigua,1114,395266270.8110488,354817.12,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,017,Apazapan,106,8483789.769968,80035.75,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,019,Astacinga,9,144000.0,16000.0,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,020,Atlahuilco,5,31539.3906,6307.88,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,021,Atoyac,1440,45943063.1841456,31904.9,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,022,Atzacan,658,28593933.847933598,43455.83,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,023,Atzalan,1371,424197271.4688624,309407.2,39.0,38.0,50.65
30,Veracruz de Ignacio de la Llave,024,Tlaltetela,171,4331220.783072,25328.78,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,025,Ayahualulco,464,10604372.6553,22854.25,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,026,Banderilla,1267,532670147.038008,420418.43,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,027,Benito Juárez,186,48006650.9232504,258100.27,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,028,Boca del Río,11192,11435658648.016098,1021770.79,333.0,131.0,71.77
30,Veracruz de Ignacio de la Llave,029,Calcahualco,5,57962.0,11592.4,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,030,Camerino Z. Mendoza,912,195961690.225912,214870.27,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,031,Carrillo Puerto,1681,1260930870.0477855,750107.6,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,032,Catemaco,1839,336083946.4081496,182753.64,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,033,Cazones de Herrera,761,100947103.2611232,132650.6,43.0,26.0,62.32
30,Veracruz de Ignacio de la Llave,034,Cerro Azul,622,179384125.3131528,288398.92,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,035,Citlaltépetl,196,14771937.74,75367.03,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,036,Coacoatzintla,236,21839118.8828896,92538.64,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,037,Coahuitlán,349,11135006.189604,31905.46,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,038,Coatepec,5082,2697071883.0258136,530710.72,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,039,Coatzacoalcos,30847,11525583154.092438,373637.08,17.0,12.0,58.62
30,Veracruz de Ignacio de la Llave,040,Coatzintla,3258,915551741.6404576,281016.5,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,041,Coetzala,61,2631863.292432,43145.3,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,042,Colipa,26,10939588.86,420753.42,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,043,Comapa,203,3950793.0119,19462.03,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,044,Córdoba,20273,5506916772.718199,271637.98,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,045,Cosamaloapan de Carpio,3066,665573827.3498312,217082.14,10.0,3.0,76.92
30,Veracruz de Ignacio de la Llave,046,Cosautlán de Carvajal,289,22881208.2973184,79173.73,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,047,Coscomatepec,472,99628310.8146432,211076.93,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,048,Cosoleacaque,12619,3065040092.5651975,242890.89,62.0,50.0,55.36
30,Veracruz de Ignacio de la Llave,049,Cotaxtla,563,46657880.3179056,82873.68,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,050,Coxquihui,356,60053141.5234536,168688.6,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,051,Coyutla,637,81213710.8428824,127494.05,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,052,Cuichapa,908,58161232.5217856,64054.22,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,053,Cuitláhuac,332,90530669.6147912,272682.74,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,054,Chacaltianguis,259,40666204.4514552,157012.37,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,055,Chalma,330,38528359.051,116752.6,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,056,Chiconamel,170,10839363.8362,63760.96,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,057,Chiconquiaco,49,1566540.5,31970.21,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,058,Chicontepec,1093,174245977.257204,159419.92,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,059,Chinameca,1149,195680304.9185032,170304.88,10.0,10.0,50.0
30,Veracruz de Ignacio de la Llave,060,Chinampa de Gorostiza,358,35571455.1247544,99361.61,60.0,87.0,40.82
30,Veracruz de Ignacio de la Llave,061,Las Choapas,2744,566415275.9064848,206419.56,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,062,Chocamán,502,32907952.3800208,65553.69,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,063,Chontla,86,24281154.657988,282339.01,0.0,0.0,0.0
