Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Queretaro,1,2026-04-06 01:14,"$2,180,000 MXN","Casa en venta, 76246 Santiago de Querétaro, Qro., Col. San Isidro Miranda, El Marqués, Querétaro, México, C.P. 76246, ID: 30221004",3 Recámaras | 2 Baños | 108 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-76246-santiago-de-queretaro-qro-san-isidro-miranda-queretaro-30221004
Queretaro,1,2026-04-06 01:14,"$1,422,000 MXN","Casa disponible en venta en Cerrada de Porfido 300 Condominio Madagascar casa 35, Los Encinos, El Marqués, Querétaro, C.P. 76243, Col. Jesús María, El Marqués, Querétaro, México, C.P. 76243, ID: 30096779",3 Recámaras | 2 Baños | 74 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-cerrada-de-porfido-300-condominio-madagascar-casa-35-los-encinos-el-marques-queretaro-cp-76243-jesus-maria-queretaro-30096779
Queretaro,1,2026-04-06 01:14,"$4,255,000 MXN","Casa en venta, Calle Ceiba 3, Int 48, Zibata, El Marques, Querétaro, C.P. 76269, Col. Zibatá, El Marqués, Querétaro, México, C.P. 76269, ID: 30396441",2 Recámaras | 2 Baños | 234 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-ceiba-3-int-48-zibata-el-marques-queretaro-cp-76269-zibata-queretaro-30396441
Queretaro,1,2026-04-06 01:14,"$1,738,000 MXN","Venta de casa Av. De la Vida 107-23-Planta alta, 76915 Qro., México, Col. El Cerrito, Corregidora, Querétaro, México, C.P. 76915, ID: 29708363",4 Recámaras | 3 Baños | 97 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-de-la-vida-10723planta-alta-76915-qro-mexico-el-cerrito-queretaro-29708363
Queretaro,1,2026-04-06 01:14,"$1,359,000 MXN","Casa en venta disponible en Calle Toltecas 703, Cerrito Colorado, Querétaro, Querétaro, C.P. 76116 , Col. Cerrito Colorado, Querétaro, Querétaro, México, C.P. 76116, ID: 29830871",3 Recámaras | 1 Baño | 87 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-toltecas-703-cerrito-colorado-queretaro-queretaro-cp-76116-cerrito-colorado-queretaro-29830871
Queretaro,1,2026-04-06 01:14,"$3,999,000 MXN","Venta casa en Av. Cardenal 12901, 76146 Nuevo Refugio, Qro., Col. La Ceiba, Querétaro, Querétaro, México, C.P. 76146, ID: 30230120",3 Recámaras | 3 Baños | 202 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-cardenal-12901-76146-nuevo-refugio-qro-la-ceiba-queretaro-30230120
Queretaro,1,2026-04-06 01:14,"$1,630,000 MXN","Venta de casa en Carretera Estatal 210-Km 1, 76245 La Piedad, Qro., Col. La Loma, El Marqués, Querétaro, México, C.P. 76245, ID: 29709344",3 Recámaras | 2 Baños | 76 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-carretera-estatal-210km-1-76245-la-piedad-qro-la-loma-queretaro-29709344
Queretaro,1,2026-04-06 01:14,"$2,862,000 MXN","Se vende casa Camino Dorado Lt 63 Mz 771 Casa 193, Fracc. Mision Cimatario, Queretaro, Queretaro, C.P. 76087, Col. Misión Cimatario, Querétaro, Querétaro, México, C.P. 76087, ID: 29529047",3 Recámaras | 2 Baños | 120 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-camino-dorado-lt-63-mz-771-casa-193-fracc-mision-cimatario-queretaro-queretaro-cp-76087-mision-cimatario-queretaro-29529047
Queretaro,1,2026-04-06 01:14,"$3,200,000 MXN","Se vende casa Anillo Vial Fray Junípero Serra S/N, Fracc. Paseo San Junípero, 76146 Santiago de Querétaro, Qro., Col. La Ceiba, Querétaro, Querétaro, México, C.P. 76146, ID: 29708549",3 Recámaras | 3 Baños | 135 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-anillo-vial-fray-junipero-serra-sn-fracc-paseo-san-junipero-76146-santiago-de-queretaro-qro-la-ceiba-queretaro-29708549
Queretaro,1,2026-04-06 01:14,"$3,873,000 MXN","Venta casa en Av. Cumbres de Juriquilla 1047 Condominio Monte Everest casa 107, Cumbres de Juriquilla, Santiago de, Col. Santa Rosa de Jauregui, Querétaro, Querétaro, México, C.P. 76220, ID: 30078301",3 Recámaras | 2 Baños | 180 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-cumbres-de-juriquilla-1047-condominio-monte-everest-casa-107-cumbres-de-juriquilla-santiago-de-santa-rosa-de-jauregui-queretaro-30078301
Queretaro,1,2026-04-06 01:14,"$3,610,000 MXN","Se vende casa en Av. Paseo de la Lila Oriente Lote Zizana, Fraccionamiento Zizana, 76245 Qro., Col. Paseos del Marques, El Marqués, Querétaro, México, C.P. 76245, ID: 29709068",3 Recámaras | 2 Baños | 156 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-paseo-de-la-lila-oriente-lote-zizana-fraccionamiento-zizana-76245-qro-paseos-del-marques-queretaro-29709068
Queretaro,1,2026-04-06 01:14,"$1,675,500 MXN","Calle el Capulín 129, Pueblito Colonial, Corregidora, Querétaro, C.P. 76908, Col. Pueblito Colonial, Corregidora, Querétaro, México, C.P. 76908, ID: 30110994",3 Recámaras | 2 Baños | 109 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-el-capulin-129-pueblito-colonial-corregidora-queretaro-cp-76908-pueblito-colonial-queretaro-30110994
Queretaro,1,2026-04-06 01:14,"$4,399,000 MXN","Av. Cardenal 12901, 76146 Nuevo Refugio, Qro., Col. La Ceiba, Querétaro, Querétaro, México, C.P. 76146, ID: 30230205",3 Recámaras | 3 Baños | 232 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-cardenal-12901-76146-nuevo-refugio-qro-la-ceiba-queretaro-30230205
Queretaro,1,2026-04-06 01:14,"$1,182,750 MXN","Casa disponible en venta en Matlazincas 217, interior 21, Cerrito Colorado, Querétaro, Querétaro, C.P. 76116, Col. Cerrito Colorado, Querétaro, Querétaro, México, C.P. 76116, ID: 29686256",2 Recámaras | 2 Baños | 71 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-matlazincas-217-interior-21-cerrito-colorado-queretaro-queretaro-cp-76116-cerrito-colorado-queretaro-29686256
Queretaro,1,2026-04-06 01:14,"$2,127,000 MXN","Casa disponible en venta en Circuito Punta Mezquite No. 402, Punta Mezquite II, Zakia, C.P. 76269, Zakia., Col. Zakia, El Marqués, Querétaro, México, C.P. 76269, ID: 29708462",3 Recámaras | 1 Baño | 89 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-circuito-punta-mezquite-no-402-punta-mezquite-ii-zakia-cp-76269-zakia-zakia-queretaro-29708462
Queretaro,1,2026-04-06 01:14,"$1,500,000 MXN","EL DEPARTAMENTO MARCADO CON EL NUMERO TREINTA Y CINCO Y EL DERECHO DE USO EXCLUSIVO DEL CAJON DE EST, Col. Tres Cantos Residencial, Querétaro, Querétaro, México, C.P. 76235, ID: 30420995",2 Recámaras | 2 Baños | 83 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-el-departamento-marcado-con-el-numero-treinta-y-cinco-y-el-derecho-de-uso-exclusivo-del-cajon-de-est-tres-cantos-residencial-queretaro-30420995
Queretaro,1,2026-04-06 01:14,"$3,908,000 MXN","Se vende casa Av. Paseo de las Pitahayas S/N, 76240 Qro., Col. Zibatá, El Marqués, Querétaro, México, C.P. 76269, ID: 30334135",3 Recámaras | 2 Baños | 158 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-paseo-de-las-pitahayas-sn-76240-qro-zibata-queretaro-30334135
