Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Yucatan,952,2026-04-06 07:10,"$6,100,000 MXN","Se vende casa en 0, Col. Yucatán Country Club, Mérida, Yucatán, México, C.P. 97308, ID: 27736831",4 Recámaras | 4 Baños | 300 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-yucatan-country-club-yucatan-27736831
Yucatan,952,2026-04-06 07:10,"$1,350,000 MXN","Venta casa en Las Palmas Yucatán, Kanasín, Yucatán, Col. Las Palmas Yucatán, Kanasín, Yucatán, México, C.P. 97370, ID: 27945624",2 Recámaras | 1 Baño | 84 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-las-palmas-yucatan-kanasin-yucatan-las-palmas-yucatan-yucatan-27945624
Yucatan,952,2026-04-06 07:10,"$4,780,000 MXN","Casa en venta, , Col. Dzitya, Mérida, Yucatán, México, C.P. 97302, ID: 28110169",3 Recámaras | 4 Baños | 315 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-dzitya-yucatan-28110169
Yucatan,952,2026-04-06 07:10,"$9,910,000 MXN","Venta de casa en , Col. Temozon Norte, Mérida, Yucatán, México, C.P. 97302, ID: 30670594",4 Recámaras | 5 Baños | 347 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-temozon-norte-yucatan-30670594
Yucatan,952,2026-04-06 07:10,"$4,200,000 MXN","Casa disponible en venta en , Col. Pedregales de Tanlum, Mérida, Yucatán, México, C.P. 97210, ID: 28728378",3 Recámaras | 4 Baños | 320 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-pedregales-de-tanlum-yucatan-28728378
Yucatan,952,2026-04-06 07:10,"$6,000,000 MXN","Se vende casa en , Col. Cocoyoles, Mérida, Yucatán, México, C.P. 97305, ID: 6986946",4 Recámaras | 6 Baños | 473 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-cocoyoles-yucatan-6986946
Yucatan,952,2026-04-06 07:10,"$13,500,000 MXN","Casa en venta disponible en , Col. Miguel Alemán, Mérida, Yucatán, México, C.P. 97148, ID: 30307400",5 Recámaras | 5 Baños | 586 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-miguel-aleman-yucatan-30307400
Yucatan,952,2026-04-06 07:10,"$2,950,000 MXN","Venta de casa en CALLE 35, Col. Cholul, Mérida, Yucatán, México, C.P. 97305, ID: 25054311",3 Recámaras | 3 Baños | 220 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-35-cholul-yucatan-25054311
Yucatan,952,2026-04-06 07:10,"$154,000 USD","Se vende casa , Col. Jardines de Vista Alegre, Mérida, Yucatán, México, C.P. 97138, ID: 28695872",3 Recámaras | 1 Baño | 170 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-jardines-de-vista-alegre-yucatan-28695872
Yucatan,952,2026-04-06 07:10,"$5,900,000 MXN","Venta de casa en , Col. Chuburna de Hidalgo, Mérida, Yucatán, México, C.P. 97205, ID: 27918805",4 Recámaras | 4 Baños | 270 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-chuburna-de-hidalgo-yucatan-27918805
Yucatan,952,2026-04-06 07:10,"$6,500,000 MXN","Venta de casa Kinish, Col. Cholul, Mérida, Yucatán, México, C.P. 97305, ID: 27821756",4 Recámaras | 5 Baños | 345 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-kinish-cholul-yucatan-27821756
Yucatan,952,2026-04-06 07:10,"$16,799,999 MXN","Casa en venta, , Col. Merida Centro, Mérida, Yucatán, México, C.P. 97000, ID: 29397224",3 Recámaras | 3 Baños | 236 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-merida-centro-yucatan-29397224
Yucatan,952,2026-04-06 07:10,"$2,900,000 MXN","Se vende casa 63, Col. Merida Centro, Mérida, Yucatán, México, C.P. 97000, ID: 30027158",2 Recámaras | 2 Baños | 215 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-63-merida-centro-yucatan-30027158
Yucatan,953,2026-04-06 07:10,"$4,785,720 MXN","Se vende casa calle diagonal 38, Col. Santa Gertrudis Copo, Mérida, Yucatán, México, C.P. 97305, ID: 25054310",4 Recámaras | 4 Baños | 284 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-diagonal-38-santa-gertrudis-copo-yucatan-25054310
Yucatan,953,2026-04-06 07:10,"$5,500,000 MXN","Venta de casa , Col. San Antonio, Mérida, Yucatán, México, C.P. 97113, ID: 27235604",4 Recámaras | 2 Baños | 318 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-san-antonio-yucatan-27235604
Yucatan,953,2026-04-06 07:10,"$4,194,000 MXN","Casa en venta disponible en Conkal, Col. Conkal, Conkal, Yucatán, México, C.P. 97345, ID: 29513431",3 Recámaras | 3 Baños | 194 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-conkal-conkal-yucatan-29513431
Yucatan,953,2026-04-06 07:10,"$11,800,000 MXN",", Col. Itzimna, Mérida, Yucatán, México, C.P. 97100, ID: 21423243",3 Recámaras | 2 Baños | 198 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-itzimna-yucatan-21423243
