Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Campeche,24,,"$5,500,000 MXN","Venta de casa en , Col. San Francisco de Campeche Centro., Campeche, Campeche, México, C.P. 24000, ID: 26181214",5 Recámaras | 2 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-francisco-de-campeche-centro-campeche-26181214
Campeche,24,,"$2,350,000 MXN","Venta casa en , Col. Misión del Carmen, Carmen, Campeche, México, C.P. 24157, ID: 27221117",3 Recámaras | 3 Baños | 150 m 2,https://propiedades.com/inmuebles/casa-en-venta-mision-del-carmen-campeche-27221117
Campeche,24,,"$9,000,000 MXN","Juan Camilo Mouriño #2, Col. Justo Sierra, Carmen, Campeche, México, C.P. 24166, ID: 25616747",4 Recámaras | 3 Baños | 424 m 2,https://propiedades.com/inmuebles/casa-en-venta-juan-camilo-mourino-2-justo-sierra-campeche-25616747
Campeche,24,,"$1,150,000 MXN","Casa en venta, Sayil, #SN, Col. Héroes de la Revolución, Campeche, Campeche, México, C.P. 24088, ID: 30696838",2 Recámaras | 1 Baño | 70 m 2,https://propiedades.com/inmuebles/casa-en-venta-sayil-sn-heroes-de-la-revolucion-campeche-30696838
Campeche,24,,"$1,600,000 MXN","Casa en venta disponible en Jacobo Castellanos, Col. 23 de Julio, Carmen, Campeche, México, C.P. 24155, ID: 24649519",2 Recámaras | 1 Baño,https://propiedades.com/inmuebles/casa-en-venta-jacobo-castellanos-23-de-julio-campeche-24649519
Campeche,24,,"$9,000,000 MXN",", Col. Bosques de Campeche, Campeche, Campeche, México, C.P. 24030, ID: 25895133",4 Recámaras | 556 m 2,https://propiedades.com/inmuebles/casa-en-venta-bosques-de-campeche-campeche-25895133
Campeche,24,,"$1,000,000 MXN","Casa en venta disponible en Abejón, Col. Caracol, Carmen, Campeche, México, C.P. 24188, ID: 29691333",2 Recámaras | 2 Baños | 40 m 2,https://propiedades.com/inmuebles/casa-en-venta-abejon-caracol-campeche-29691333
Campeche,24,,"$7,000,000 MXN","Casa en venta, 45, Col. San Francisco, Campeche, Campeche, México, C.P. 24010, ID: 29289764",4 Recámaras | 3 Baños | 340 m 2,https://propiedades.com/inmuebles/casa-en-venta-45-san-francisco-campeche-29289764
Campeche,24,,"$3,200,000 MXN","Venta de casa en , Col. Residencial Las Palmas, Carmen, Campeche, México, C.P. 24153, ID: 27803767",3 Recámaras | 3 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-residencial-las-palmas-campeche-27803767
Campeche,24,,"$2,500,000 MXN","Se vende casa en , Col. Vicente Guerrero, Campeche, Campeche, México, C.P. 24035, ID: 31010429",4 Recámaras | 2 Baños | 190 m 2,https://propiedades.com/inmuebles/casa-en-venta-vicente-guerrero-campeche-31010429
Campeche,24,,"$3,400,000 MXN","Se vende casa en 10 B, Col. La Ermita, Campeche, Campeche, México, C.P. 24020, ID: 29620204",4 Recámaras | 3 Baños | 300 m 2,https://propiedades.com/inmuebles/casa-en-venta-10-b-la-ermita-campeche-29620204
Campeche,24,,"$2,200,000 MXN","Venta de casa en 63, Col. San Francisco de Campeche Centro., Campeche, Campeche, México, C.P. 24000, ID: 27966643",2 Recámaras | 1 Baño | 145 m 2,https://propiedades.com/inmuebles/casa-en-venta-63-san-francisco-de-campeche-centro-campeche-27966643
Campeche,24,,"$1,460,000 MXN","Se vende casa S-N #S-N, Col. Reforma Agraria, Campeche, Campeche, México, C.P. 24095, ID: 30815996",2 Recámaras | 1 Baño | 98 m 2,
Campeche,24,,"$3,450,000 MXN","Casa en venta, Lerma, Col. Lerma, Campeche, Campeche, México, C.P. 24500, ID: 26373563",2 Recámaras | 2 Baños | 227 m 2,https://propiedades.com/inmuebles/casa-en-venta-lerma-lerma-campeche-26373563
Campeche,24,,"$5,400,000 MXN","Se vende casa en Calle Chacah No. 1, entre calle Granadillo y Copal, Fraccionamiento Bosques de Campeche, Campeche, , Col. CEDAR Campeche, Campeche, Campeche, México, C.P. 24030, ID: 29368401",4 Recámaras | 4 Baños | 303 m 2,
Campeche,24,,"$2,700,000 MXN","Venta casa en 63, Col. San Francisco de Campeche Centro., Campeche, Campeche, México, C.P. 24000, ID: 28089301",2 Recámaras | 1 Baño,https://propiedades.com/inmuebles/casa-en-venta-63-san-francisco-de-campeche-centro-campeche-28089301
Campeche,24,,"$2,800,000 MXN","Casa en venta, , Col. San Francisco de Campeche Centro., Campeche, Campeche, México, C.P. 24000, ID: 27837379",1 Baño | 111 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-francisco-de-campeche-centro-campeche-27837379
Campeche,24,,"$2,550,000 MXN","Casa disponible en venta en , Col. San Joaquín, Carmen, Campeche, México, C.P. 24157, ID: 30391161",4 Recámaras | 1 Baño | 210 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-joaquin-campeche-30391161
Campeche,24,,"$2,300,000 MXN","Venta de casa SM, Col. San Manuel, Carmen, Campeche, México, C.P. 24154, ID: 10786680",3 Recámaras | 3 Baños,https://propiedades.com/inmuebles/casa-en-venta-sm-san-manuel-campeche-10786680
Campeche,24,,"$3,200,000 MXN","Avenida Río Candelaria, Col. La Rivera, Carmen, Campeche, México, C.P. 24150, ID: 7253601",4 Recámaras | 227 m 2,https://propiedades.com/inmuebles/casa-en-venta-avenida-rio-candelaria-la-rivera-campeche-7253601
Campeche,24,,"$14,840,000 MXN","Casa disponible en venta en 31A #32, Col. Aviación, Carmen, Campeche, México, C.P. 24170, ID: 26247838",30 Recámaras | 30 Baños | 750 m 2,https://propiedades.com/inmuebles/casa-en-venta-31a-32-aviacion-campeche-26247838
Campeche,24,,"$2,600,000 MXN","Venta de casa , Col. Residencial La Arboleda, Campeche, Campeche, México, C.P. 24093, ID: 25398795",3 Recámaras | 2 Baños,https://propiedades.com/inmuebles/casa-en-venta-residencial-la-arboleda-campeche-25398795
Campeche,24,,"$3,200,000 MXN","Se vende casa calle 30, Col. Ciudad del Carmen Centro, Carmen, Campeche, México, C.P. 24100, ID: 27310767",4 Recámaras | 4 Baños | 220 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-30-ciudad-del-carmen-centro-campeche-27310767
Campeche,24,,"$1,750,000 MXN","Venta casa en San Carlos, Col. Venustiano Carranza 2, Carmen, Campeche, México, C.P. 24317, ID: 31010663",2 Recámaras | 2 Baños | 75 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-carlos-venustiano-carranza-2-campeche-31010663
Campeche,24,,"$1,600,000 MXN","Casa disponible en venta en , Col. Villa Magna, Carmen, Campeche, México, C.P. 24157, ID: 27675683",3 Recámaras | 2 Baños | 190 m 2,https://propiedades.com/inmuebles/casa-en-venta-villa-magna-campeche-27675683
