Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Estado De Mexico,23,,"$10,500,000 MXN","Venta casa en San Lorenzo Tepaltitlán, Méx., Col. San Lorenzo Tepaltitlán Centro, Toluca, México, México, C.P. 50010, ID: 30241836",3 Recámaras | 2 Baños | 418 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-lorenzo-tepaltitlan-mex-san-lorenzo-tepaltitlan-centro-mexico-30241836
Estado De Mexico,23,,"$40,000,000 MXN","Venta de casa P.º de la Herradura, Lomas de la Herradura, Naucalpan de Juárez, Méx., Col. La Herradura, Huixquilucan, México, México, C.P. 52784, ID: 30304895",5 Recámaras | 5 Baños | 826 m 2,https://propiedades.com/inmuebles/casa-en-ambos-p-de-la-herradura-lomas-de-la-herradura-naucalpan-de-juarez-mex-la-herradura-mexico-30304895
Estado De Mexico,24,,"$1,854,000 MXN","Carretera Chalco-Mixquic #401, Col. San Mateo Huitzilzingo, Chalco, México, México, C.P. 56625, ID: 30385577",2 Recámaras | 1 Baño | 83 m 2,https://propiedades.com/inmuebles/casa-en-venta-carretera-chalcomixquic-401-san-mateo-huitzilzingo-mexico-30385577
Estado De Mexico,24,,"$3,800,000 MXN","prado de cedro #121, Col. Prados de Aragón, Nezahualcóyotl, México, México, C.P. 57179, ID: 29450534",3 Recámaras | 2 Baños | 72 m 2,https://propiedades.com/inmuebles/casa-en-venta-prado-de-cedro-121-prados-de-aragon-mexico-29450534
Estado De Mexico,24,,"$2,127,000 MXN","Venta casa en Carretera Chalco-Mixquic #401, Col. San Mateo Huitzilzingo, Chalco, México, México, C.P. 56625, ID: 30385582",2 Recámaras | 1 Baño | 83 m 2,https://propiedades.com/inmuebles/casa-en-venta-carretera-chalcomixquic-401-san-mateo-huitzilzingo-mexico-30385582
Estado De Mexico,24,,"$1,249,000 MXN","Se vende casa Chalco Centro, Chalco de Díaz Covarrubias, Méx. #s/n, Col. Chalco de Díaz Covarrubias Centro, Chalco, México, México, C.P. 56600, ID: 30736238",2 Recámaras | 1 Baño | 69 m 2,https://propiedades.com/inmuebles/casa-en-venta-chalco-centro-chalco-de-diaz-covarrubias-mex-sn-chalco-de-diaz-covarrubias-centro-mexico-30736238
Estado De Mexico,24,,"$1,401,000 MXN","Casa en venta disponible en Melchor Ocampo Lt 22 1, Los Heroes Coacalco, 55712 San Francisco Coacalco, Méx. #1Int. 1, Col. Los Héroes Coacalco, Coacalco de Berriozábal, México, México, C.P. 55712, ID: 30352376",4 Recámaras | 2 Baños | 93 m 2,https://propiedades.com/inmuebles/casa-en-venta-melchor-ocampo-lt-22-1-los-heroes-coacalco-55712-san-francisco-coacalco-mex-1-los-heroes-coacalco-mexico-30352376
Estado De Mexico,24,,"$6,490,000 MXN","Casa en venta, Av de la Glorieta, Col. Las Arboledas, Atizapán de Zaragoza, México, México, C.P. 52950, ID: 29314751",2 Recámaras | 3 Baños | 230 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-de-la-glorieta-las-arboledas-mexico-29314751
Estado De Mexico,24,,"$2,250,000 MXN","Se vende casa Parque Residencial Coacalco, San Francisco Coacalco, Méx. #s/n, Col. Parque Residencial Coacalco 2a Sección, Coacalco de Berriozábal, México, México, C.P. 55720, ID: 30283665",3 Recámaras | 2 Baños | 160 m 2,
Estado De Mexico,24,,"$702,000 MXN","Venta de casa en Ex-Hacienda Santa Ines, 55796 Méx., Col. Paseos del Valle, Nextlalpan, México, México, C.P. 55796, ID: 30333702",1 Recámara | 1 Baño | 34 m 2,https://propiedades.com/inmuebles/casa-en-venta-exhacienda-santa-ines-55796-mex-paseos-del-valle-mexico-30333702
Estado De Mexico,24,,"$850,000 MXN","Casa en venta disponible en Compostela, Col. Villa del Real, Tecámac, México, México, C.P. 55749, ID: 28808307",3 Recámaras | 1 Baño | 90 m 2,https://propiedades.com/inmuebles/casa-en-venta-compostela-villa-del-real-mexico-28808307
Estado De Mexico,24,,"$1,600,000 MXN","Casa en venta, Fraccionamiento Las Americas, Las Américas, 55076 Ecatepec de Morelos, Méx., Col. Las Américas, Ecatepec de Morelos, México, México, C.P. 55076, ID: 30691611",3 Recámaras | 1 Baño | 59 m 2,
Estado De Mexico,24,,"$1,102,400 MXN","Venta de casa en Chalco Centro, Chalco de Díaz Covarrubias, Méx. #s/n, Col. Chalco de Díaz Covarrubias Centro, Chalco, México, México, C.P. 56600, ID: 30736231",2 Recámaras | 1 Baño | 70 m 2,https://propiedades.com/inmuebles/casa-en-venta-chalco-centro-chalco-de-diaz-covarrubias-mex-sn-chalco-de-diaz-covarrubias-centro-mexico-30736231
Estado De Mexico,24,,"$3,800,000 MXN","Casa disponible en venta en Ciénega 123, Capistrano, 52988 Cdad. López Mateos, Méx. #123, Col. Casitas Capistrano, Atizapán de Zaragoza, México, México, C.P. 52988, ID: 30464375",3 Recámaras | 3 Baños | 130 m 2,https://propiedades.com/inmuebles/casa-en-venta-cienega-123-capistrano-52988-cdad-lopez-mateos-mex-123-casitas-capistrano-mexico-30464375
Estado De Mexico,24,,"$3,600,000 MXN","Venta de casa en C. Cerro del Chapulin 128, Habit.rincón del Valle, 54040 Tlalnepantla, Méx. #128, Col. Rincón del Valle, Tlalnepantla de Baz, México, México, C.P. 54040, ID: 30250600",4 Recámaras | 3 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-cerro-del-chapulin-128-habitrincon-del-valle-54040-tlalnepantla-mex-128-rincon-del-valle-mexico-30250600
