Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Baja California,37,,"$374,000 MXN","Se vende casa en Las Adjuntas, Lomas de la Presa, 22125 Tijuana, B.C. #s/n, Col. Villas de Baja California, Tijuana, Baja California, México, C.P. 22125, ID: 30385028",3 Recámaras | 1 Baño | 35 m 2,https://propiedades.com/inmuebles/casa-en-venta-las-adjuntas-lomas-de-la-presa-22125-tijuana-bc-sn-villas-de-baja-california-baja_california-30385028
Baja California,37,,"$240,000 USD","Venta casa en valle del sur II, Col. Valle del Sur, Tijuana, Baja California, México, C.P. 22637, ID: 28194623",3 Recámaras | 2 Baños | 135 m 2,https://propiedades.com/inmuebles/casa-en-venta-valle-del-sur-ii-valle-del-sur-baja_california-28194623
Baja California,37,,"$842,000 MXN","Venta de casa Hilario Medina, Otay Constituyentes, 22457 Tijuana, B.C., Col. Otay Constituyentes, Tijuana, Baja California, México, C.P. 22457, ID: 30490197",4 Recámaras | 2 Baños | 320 m 2,https://propiedades.com/inmuebles/casa-en-venta-hilario-medina-otay-constituyentes-22457-tijuana-bc-otay-constituyentes-baja_california-30490197
Baja California,37,,"$930,000 MXN","Se vende casa C. Roma, Playas de Tijuana, Costa Azul, 22506 Tijuana, B.C., Col. Playas de Tijuana Sección Costa de Oro, Tijuana, Baja California, México, C.P. 22506, ID: 30490180",4 Recámaras | 2 Baños | 540 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-roma-playas-de-tijuana-costa-azul-22506-tijuana-bc-playas-de-tijuana-seccion-costa-de-oro-baja_california-30490180
Baja California,37,,"$4,500,000 MXN","Venta de casa Mariano Matamoros, 22206 Tijuana, B.C., Col. Mariano Matamoros (Norte), Tijuana, Baja California, México, C.P. 22206, ID: 30267471",3 Recámaras | 2 Baños,https://propiedades.com/inmuebles/casa-en-venta-mariano-matamoros-22206-tijuana-bc-mariano-matamoros-norte-baja_california-30267471
Baja California,37,,"$5,000,000 MXN","Casa en venta disponible en Riviera Maya Residencial, 21376 Mexicali, B.C. #s/n, Col. Rivera Maya Residencial, Mexicali, Baja California, México, C.P. 21376, ID: 30649134",3 Recámaras | 2 Baños | 111 m 2,https://propiedades.com/inmuebles/casa-en-venta-riviera-maya-residencial-21376-mexicali-bc-sn-rivera-maya-residencial-baja_california-30649134
Baja California,37,,"$471,520 MXN","Venta de casa en Calle D 944 #s/n, Col. Terrazas el Gallo, Ensenada, Baja California, México, C.P. 22850, ID: 29967650",2 Recámaras | 1 Baño | 35 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-d-944-sn-terrazas-el-gallo-baja_california-29967650
Baja California,37,,"$3,990,000 MXN","Se vende casa en Calle bosques del sol, Manglar 3515, Plutarco Elías Calles, 21376 Mexicali, B.C. #s/n, Col. Bosque del Sol, Mexicali, Baja California, México, C.P. 21376, ID: 30826534",3 Recámaras | 2 Baños | 116 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-bosques-del-sol-manglar-3515-plutarco-elias-calles-21376-mexicali-bc-sn-bosque-del-sol-baja_california-30826534
Baja California,37,,"$2,830,000 MXN","Casa en venta, Loreto 9441, Mar Cantabrico, 22667 Tijuana, B.C. #9441, Col. Verona Residencial, Tijuana, Baja California, México, C.P. 22667, ID: 30531565",3 Recámaras | 2 Baños,https://propiedades.com/inmuebles/casa-en-venta-loreto-9441-mar-cantabrico-22667-tijuana-bc-9441-verona-residencial-baja_california-30531565
Baja California,37,,"$590,000 USD","Se vende casa Santa Elena 12650 #12650, Col. Lomas de Agua Caliente, Tijuana, Baja California, México, C.P. 22024, ID: 30078657",4 Recámaras | 4 Baños | 266 m 2,https://propiedades.com/inmuebles/casa-en-venta-santa-elena-12650-12650-lomas-de-agua-caliente-baja_california-30078657
