Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Hidalgo,36,,"$1,400,000 MXN","Casa en venta, AVENIDA VALLE DE PACHUCA-TIZAYUCA PRIVADA E 107, Col. Nuevo Tizayuca, Tizayuca, Hidalgo, México, C.P. 43806, ID: 30203340",3 Recámaras | 3 Baños | 90 m 2,https://propiedades.com/inmuebles/casa-en-venta-avenida-valle-de-pachucatizayuca-privada-e-107-nuevo-tizayuca-hidalgo-30203340
Hidalgo,36,,"$1,600,000 MXN","Casa en venta disponible en FRACCIONAMIENTO PRADOS DE SAN CRISTOBAL CP 42186, MINERAL DE LA REFORMA, HIDALGO, Col. La Reforma, Mineral de la Reforma, Hidalgo, México, C.P. 42186, ID: 30528207",4 Recámaras | 2 Baños | 117 m 2,https://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-prados-de-san-cristobal-cp-42186-mineral-de-la-reforma-hidalgo-la-reforma-hidalgo-30528207
Hidalgo,36,,"$5,500,000 MXN","Venta de casa en , Col. Presa Escondida, Tepeji del Río de Ocampo, Hidalgo, México, C.P. 42852, ID: 30973514",3 Recámaras | 484 m 2,https://propiedades.com/inmuebles/casa-en-venta-presa-escondida-hidalgo-30973514
Hidalgo,36,,"$3,200,000 MXN",", Col. La Escondida, Tulancingo de Bravo, Hidalgo, México, C.P. 43640, ID: 30332073",92 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-escondida-hidalgo-30332073
Hidalgo,36,,"$2,000,000 USD","Venta de casa Centro, Col. Tepetitlán Centro, Tepetitlán, Hidalgo, México, C.P. 42920, ID: 25281390",5 Recámaras | 5 Baños | 878 m 2,https://propiedades.com/inmuebles/casa-en-venta-centro-tepetitlan-centro-hidalgo-25281390
Hidalgo,36,,"$2,300,000 MXN","Venta casa en Riopar, Col. Real Toledo Fase 1, Pachuca de Soto, Hidalgo, México, C.P. 42119, ID: 30617142",3 Recámaras | 1 Baño | 105 m 2,https://propiedades.com/inmuebles/casa-en-venta-riopar-real-toledo-fase-1-hidalgo-30617142
Hidalgo,36,,"$3,000,000 MXN","Venta de casa en San Diego esq Cto. La Asunción, Jardines Pachuquilla #sn, Col. La Reforma, Mineral de la Reforma, Hidalgo, México, C.P. 42186, ID: 30810247",3 Recámaras | 3 Baños | 174 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-diego-esq-cto-la-asuncion-jardines-pachuquilla-sn-la-reforma-hidalgo-30810247
Hidalgo,36,,"$2,550,000 MXN","Venta de casa Fraccionamiento Terranova Residencial #S/N, Col. Haciendas de Hidalgo, Pachuca de Soto, Hidalgo, México, C.P. 42082, ID: 26936400",3 Recámaras | 4 Baños | 198 m 2,https://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-terranova-residencial-sn-haciendas-de-hidalgo-hidalgo-26936400
Hidalgo,36,,"$22,000,000 MXN","Se vende casa en Real de Pachuca, Zona Plateada, Col. Privada Real de San Cayetano, Pachuca de Soto, Hidalgo, México, C.P. 42084, ID: 26226496",3 Recámaras | 4 Baños | 590 m 2,https://propiedades.com/inmuebles/casa-en-venta-real-de-pachuca-zona-plateada-privada-real-de-san-cayetano-hidalgo-26226496
Hidalgo,36,,"$14,000,000 MXN","Casa en venta, Antigua carretera la paz, Col. Industrial la Paz, Pachuca de Soto, Hidalgo, México, C.P. 42092, ID: 30624992",4 Recámaras | 3 Baños | 563 m 2,https://propiedades.com/inmuebles/casa-en-venta-antigua-carretera-la-paz-industrial-la-paz-hidalgo-30624992
Hidalgo,37,,"$8,900,000 MXN","Casa disponible en venta en Residencial Dolores, Col. Zona Plateada, Pachuca de Soto, Hidalgo, México, C.P. 42084, ID: 26301183",4 Recámaras | 4 Baños | 475 m 2,https://propiedades.com/inmuebles/casa-en-venta-residencial-dolores-zona-plateada-hidalgo-26301183
Hidalgo,37,,"$2,382,000 MXN","Venta casa en A/PRINCIPAL #S/N, Col. Las Águilas, Mineral de la Reforma, Hidalgo, México, C.P. 42186, ID: 29193583",3 Recámaras | 3 Baños | 126 m 2,https://propiedades.com/inmuebles/casa-en-venta-aprincipal-sn-las-aguilas-hidalgo-29193583
Hidalgo,37,,"$1,471,785 MXN","Venta de casa en Sin nombre de calle, Col. Jardines de Tizayuca I, Tizayuca, Hidalgo, México, C.P. 43803, ID: 30717526",2 Recámaras | 1 Baño | 131 m 2,https://propiedades.com/inmuebles/casa-en-venta-sin-nombre-de-calle-jardines-de-tizayuca-i-hidalgo-30717526
Hidalgo,37,,"$11,750,000 MXN","Casa en venta disponible en Fraccionamiento Jardines Residencial de San.Francisco, Col. Privada del Socorro, Pachuca de Soto, Hidalgo, México, C.P. 42086, ID: 30485598",3 Recámaras | 3 Baños | 270 m 2,https://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-jardines-residencial-de-sanfrancisco-privada-del-socorro-hidalgo-30485598
