Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Quintana-Roo,1,2026-04-06 02:27,"$29,000,000 MXN","Venta de casa Circuito Laguna, Col. Cancún (Internacional de Cancún), Benito Juárez, Quintana Roo, México, C.P. 77569, ID: 28746010",3 Recámaras | 4 Baños | 460 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-circuito-laguna-cancun-internacional-de-cancun-quintana_roo-28746010
Quintana-Roo,1,2026-04-06 02:27,"$2,650,000 MXN","Se vende casa Frida Kahlo, Col. Supermanzana 321, Benito Juárez, Quintana Roo, México, C.P. 77535, ID: 30994221",3 Recámaras | 2 Baños | 136 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-frida-kahlo-supermanzana-321-quintana_roo-30994221
Quintana-Roo,1,2026-04-06 02:27,"$1,300,000 USD","Casa en venta, , Col. Akumal, Tulum, Quintana Roo, México, C.P. 77776, ID: 30090601",4 Recámaras | 4 Baños | 538 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-akumal-quintana_roo-30090601
Quintana-Roo,1,2026-04-06 02:27,"$12,500,000 MXN","Se vende casa Villa Magna, Col. Villa Maya Residencial Cancún, Benito Juárez, Quintana Roo, México, C.P. 77536, ID: 30766969",3 Recámaras | 4 Baños | 480 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-villa-magna-villa-maya-residencial-cancun-quintana_roo-30766969
Quintana-Roo,1,2026-04-06 02:27,"$2,300,000 MXN","Casa en venta disponible en Dragón, Col. Jardines del Sur, Benito Juárez, Quintana Roo, México, C.P. 77536, ID: 29787617",3 Recámaras | 3 Baños | 120 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-dragon-jardines-del-sur-quintana_roo-29787617
Quintana-Roo,1,2026-04-06 02:27,"$5,850,000 MXN","Av Huayacán, Cancún, Q.R., Col. Aqua Residencial, Benito Juárez, Quintana Roo, México, C.P. 77560, ID: 30811669",3 Recámaras | 3 Baños | 260 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-huayacan-cancun-qr-aqua-residencial-quintana_roo-30811669
Quintana-Roo,1,2026-04-06 02:27,"$875,000 USD","Se vende casa La Veleta, Tulum, Q.R., Col. La Veleta, Tulum, Quintana Roo, México, C.P. 77760, ID: 31017007",5 Recámaras | 5 Baños | 480 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-veleta-tulum-qr-la-veleta-quintana_roo-31017007
Quintana-Roo,1,2026-04-06 02:27,"$3,876,595 MXN","Venta de casa , Col. Cancún Centro, Benito Juárez, Quintana Roo, México, C.P. 77500, ID: 30129289",3 Recámaras | 2 Baños | 144 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-cancun-centro-quintana_roo-30129289
Quintana-Roo,1,2026-04-06 02:27,"$6,950,000 MXN","Casa en venta disponible en paseo las quintas #1-2, Col. Residencial Isla Azul, Benito Juárez, Quintana Roo, México, C.P. 77533, ID: 29546967",3 Recámaras | 2 Baños | 213 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-paseo-las-quintas-12-residencial-isla-azul-quintana_roo-29546967
Quintana-Roo,1,2026-04-06 02:27,"$7,297,100 MXN","Se vende casa en , Col. Playa del Carmen, Solidaridad, Quintana Roo, México, C.P. 77710, ID: 30334355",4 Recámaras | 2 Baños | 275 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-playa-del-carmen-quintana_roo-30334355
