Modelo,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Tiempo_Segundos
Random Forest,0.8313200000000001,0.8033761071779246,0.8187995994664018,0.8103650625578183,0.9450542205394802,3.14
Arbol de Decision,0.79844,0.7631658118363255,0.7924452962846822,0.7750927158819068,0.8728456257587567,1.61
KNN (k=5),0.79154,0.7534868241893565,0.7939811664189744,0.768000017091882,0.9088779685035833,1.8
Red Neuronal (MLP),0.7858,0.7516046268753989,0.7886172755689506,0.7654948140154494,0.9265048432446946,25.03
Regresion Logistica,0.61788,0.5999576085854433,0.6710105752144213,0.6124774291940276,0.8484046322609045,3.73
SVM (Kernel RBF),0.5348999999999999,0.4838443007327641,0.48792128682948854,0.42188454126713654,0.704744627037033,113.63
