ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2015,Oaxaca,Heroica Ciudad de Huajuapan de León,U2,Horizontal,4,039,20
2015,Chihuahua,Camargo,U2,Horizontal,1,011,08
2015,Guanajuato,Cortazar,U3,Horizontal,21,011,11
2015,Michoacán de Ocampo,Sahuayo,U3,Horizontal,13,076,16
2015,Tabasco,Cárdenas,U2,Horizontal,3,002,27
2017,Veracruz de Ignacio de la Llave,Veracruz,U3,Vertical,900,193,30
2016,Morelos,Emiliano Zapata,U3,Vertical,67,008,17
2015,Morelos,Tlayacapan,FC,Horizontal,156,026,17
2016,Hidalgo,Santiago Tulantepec de Lugo Guerrero,U1,Horizontal,2,056,13
2015,Baja California,Tijuana,FC,Horizontal,42,004,02
2015,Quintana Roo,Benito Juárez,U3,Vertical,345,005,23
2016,Sonora,Empalme,U2,Horizontal,19,025,26
2016,Coahuila de Zaragoza,Saltillo,U3,Horizontal,355,030,05
2016,Jalisco,Ameca,U3,Horizontal,8,006,14
2017,Aguascalientes,Calvillo,U3,Horizontal,4,003,01
2015,Veracruz de Ignacio de la Llave,Coatzacoalcos,U2,Vertical,768,039,30
2015,Sonora,Cananea,U2,Horizontal,21,019,26
2017,Guanajuato,Salamanca,U2,Horizontal,4,027,11
2015,Jalisco,Ixtlahuacán de los Membrillos,U3,Horizontal,39,044,14
2015,Baja California,Tijuana,FC,Vertical,896,004,02
2015,Veracruz de Ignacio de la Llave,Tuxpan,U2,Horizontal,40,189,30
2015,Guanajuato,Cortazar,U1,Horizontal,2,011,11
2016,Jalisco,La Barca,U2,Horizontal,12,018,14
2015,Yucatán,Umán,U1,Horizontal,316,101,31
2017,Guerrero,Chilpancingo de los Bravo,U1,Vertical,71,029,12
2016,Oaxaca,Ciudad Ixtepec,U2,Horizontal,150,014,20
2015,Jalisco,Tlajomulco de Zúñiga,FC,Horizontal,1013,097,14
2016,Veracruz de Ignacio de la Llave,Medellín de Bravo,U3,Horizontal,56,105,30
2015,Sonora,Caborca,U3,Horizontal,169,017,26
2017,San Luis Potosí,Cárdenas,U2,Horizontal,3,005,24
2016,Morelos,Yautepec,U3,Horizontal,15,029,17
2015,Sonora,Agua Prieta,FC,Horizontal,4,002,26
2017,Chihuahua,Nuevo Casas Grandes,U1,Horizontal,30,050,08
2017,Tamaulipas,Altamira,U3,Horizontal,41,003,28
2017,Sinaloa,Mazatlán,U3,Vertical,102,012,25
2015,Tlaxcala,Calpulalpan,U1,Horizontal,8,006,29
2015,Hidalgo,Pachuca de Soto,FC,Horizontal,308,048,13
2017,Chiapas,Berriozábal,U2,Horizontal,4,012,07
2016,Sinaloa,Mazatlán,FC,Horizontal,27,012,25
2017,México,Coacalco de Berriozábal,U1,Horizontal,1,020,15
2017,Hidalgo,Santiago Tulantepec de Lugo Guerrero,U1,Horizontal,4,056,13
2015,Michoacán de Ocampo,Maravatío,U2,Horizontal,4,050,16
2016,Guanajuato,Apaseo el Grande,U2,Vertical,533,005,11
2016,Oaxaca,Guadalupe Etla,FC,Horizontal,4,033,20
2015,Jalisco,La Barca,FC,Horizontal,9,018,14
2017,Veracruz de Ignacio de la Llave,Alvarado,FC,Vertical,222,011,30
2016,Nuevo León,Juárez,U2,Horizontal,6910,031,19
2016,Baja California Sur,La Paz,U2,Horizontal,1039,003,03
2016,México,Zumpango,U3,Horizontal,866,120,15
2017,Jalisco,Ixtlahuacán de los Membrillos,U3,Vertical,36,044,14
2015,Jalisco,Magdalena,U2,Horizontal,14,055,14
2015,Hidalgo,Mineral de la Reforma,U3,Horizontal,327,051,13
2015,San Luis Potosí,Soledad de Graciano Sánchez,U2,Horizontal,1830,035,24
2015,Durango,Poanas,FC,Horizontal,15,022,10
2015,Tlaxcala,Yauhquemehcan,U2,Vertical,30,043,29
2015,México,Toluca,FC,Horizontal,37,106,15
2015,Jalisco,El Salto,U1,Vertical,115,070,14
2015,Veracruz de Ignacio de la Llave,Cerro Azul,FC,Horizontal,1,034,30
2016,Oaxaca,Oaxaca de Juárez,U1,Horizontal,3,067,20
2016,Veracruz de Ignacio de la Llave,Boca del Río,U2,Vertical,8,028,30
2015,México,Tecámac,U2,Horizontal,1638,081,15
2017,Coahuila de Zaragoza,Matamoros,U2,Horizontal,166,017,05
2017,Michoacán de Ocampo,Tarímbaro,U3,Vertical,76,088,16
2017,Veracruz de Ignacio de la Llave,Xalapa,U1,Vertical,29,087,30
2016,Guerrero,Acapulco de Juárez,U1,Vertical,152,001,12
2015,Hidalgo,Tepeji del Río de Ocampo,U3,Horizontal,50,063,13
2015,Hidalgo,Mineral de la Reforma,FC,Horizontal,554,051,13
2016,Morelos,Temixco,U2,Vertical,64,018,17
2016,Guanajuato,León,U3,Horizontal,1442,020,11
2016,Sinaloa,Guasave,U2,Horizontal,410,011,25
2017,Michoacán de Ocampo,Zamora,U2,Vertical,104,108,16
2015,Nayarit,Bahía de Banderas,U2,Horizontal,1036,020,18
2017,Querétaro,Querétaro,U2,Horizontal,1405,014,22
2017,Michoacán de Ocampo,Zitácuaro,U2,Horizontal,18,112,16
2015,Durango,Santiago Papasquiaro,U2,Horizontal,10,032,10
2015,México,Lerma,U2,Horizontal,103,051,15
2015,Querétaro,El Marqués,U2,Horizontal,1697,011,22
2016,Yucatán,Mérida,U3,Horizontal,1162,050,31
2017,Jalisco,Zapotlán el Grande,U1,Horizontal,85,023,14
2016,Aguascalientes,Jesús María,U3,Horizontal,252,005,01
2017,Morelos,Yautepec,U2,Horizontal,332,029,17
2017,Michoacán de Ocampo,Jiquilpan,U3,Horizontal,22,045,16
2015,Ciudad de México,Gustavo A. Madero,U2,Horizontal,4,005,09
2017,Nayarit,Bahía de Banderas,U3,Vertical,366,020,18
2016,Puebla,Cuautlancingo,U2,Vertical,144,041,21
2017,Michoacán de Ocampo,Ario,U2,Horizontal,1,009,16
2017,Tabasco,Nacajuca,U3,Horizontal,127,013,27
2015,Morelos,Cuernavaca,U2,Horizontal,20,007,17
2015,Tabasco,Centro,U1,Horizontal,1,004,27
2015,Querétaro,Tequisquiapan,U3,Horizontal,236,017,22
2015,Querétaro,Tequisquiapan,FC,Horizontal,8,017,22
2016,México,Metepec,U3,Horizontal,4,054,15
2016,Zacatecas,Fresnillo,U2,Horizontal,88,010,32
2016,Coahuila de Zaragoza,San Pedro,U2,Horizontal,9,033,05
2016,Coahuila de Zaragoza,Matamoros,U3,Vertical,40,017,05
2016,Tabasco,Teapa,U1,Horizontal,2,016,27
2017,Yucatán,Izamal,U1,Horizontal,6,040,31
2015,Oaxaca,Santa María Atzompa,U3,Vertical,40,399,20
2016,San Luis Potosí,Ciudad Valles,U1,Horizontal,15,013,24
2015,Nuevo León,Guadalupe,U2,Horizontal,254,026,19
2016,Zacatecas,Fresnillo,U3,Horizontal,3,010,32
2017,Tlaxcala,Xaloztoc,U1,Vertical,50,039,29
