ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2016,Coahuila de Zaragoza,San Buenaventura,U2,Horizontal,10,031,05
2017,Michoacán de Ocampo,Pátzcuaro,U2,Horizontal,11,066,16
2016,Chiapas,Tapachula,FC,Vertical,72,089,07
2016,Jalisco,El Salto,U2,Vertical,1498,070,14
2015,Nayarit,Tepic,U2,Vertical,351,017,18
2015,Michoacán de Ocampo,Jiquilpan,U3,Horizontal,17,045,16
2017,San Luis Potosí,Axtla de Terrazas,FC,Horizontal,2,053,24
2016,Coahuila de Zaragoza,Torreón,U2,Vertical,36,035,05
2015,Guanajuato,Cortazar,U3,Horizontal,39,011,11
2015,Michoacán de Ocampo,Sahuayo,U3,Horizontal,10,076,16
2015,Tabasco,Cárdenas,U2,Horizontal,2,002,27
2017,Veracruz de Ignacio de la Llave,Veracruz,U3,Vertical,390,193,30
2016,Morelos,Emiliano Zapata,U3,Vertical,1,008,17
2015,Baja California,Tijuana,FC,Horizontal,14,004,02
2015,Quintana Roo,Benito Juárez,U3,Vertical,177,005,23
2016,Sonora,Empalme,U2,Horizontal,27,025,26
2016,Sinaloa,Ahome,U2,Vertical,6,001,25
2016,Coahuila de Zaragoza,Saltillo,U3,Horizontal,676,030,05
2016,Michoacán de Ocampo,Zamora,U2,Vertical,432,108,16
2016,Jalisco,Ameca,U3,Horizontal,7,006,14
2017,Aguascalientes,Calvillo,U3,Horizontal,15,003,01
2015,Veracruz de Ignacio de la Llave,Coatzacoalcos,U2,Vertical,1568,039,30
2015,Sonora,Cananea,U2,Horizontal,22,019,26
2017,Guanajuato,Salamanca,U2,Horizontal,4,027,11
2015,Jalisco,Ixtlahuacán de los Membrillos,U3,Horizontal,74,044,14
2015,Baja California,Tijuana,FC,Vertical,372,004,02
2015,Veracruz de Ignacio de la Llave,Tuxpan,U2,Horizontal,252,189,30
2015,Guanajuato,Cortazar,U1,Horizontal,50,011,11
2016,Jalisco,La Barca,U2,Horizontal,25,018,14
2015,Nuevo León,García,U1,Horizontal,360,018,19
2017,Michoacán de Ocampo,Lázaro Cárdenas,FC,Horizontal,2,052,16
2015,Sonora,Guaymas,U3,Horizontal,4,029,26
2017,Tlaxcala,Tepetitla de Lardizábal,U2,Horizontal,48,019,29
2015,Yucatán,Umán,U1,Horizontal,122,101,31
2017,Guerrero,Chilpancingo de los Bravo,U1,Vertical,68,029,12
2015,Jalisco,Tlajomulco de Zúñiga,FC,Horizontal,802,097,14
2015,Veracruz de Ignacio de la Llave,Cosoleacaque,U1,Vertical,112,048,30
2015,Sonora,Caborca,U3,Horizontal,90,017,26
2016,Sonora,Nogales,U2,Vertical,3,043,26
2016,Nuevo León,Juárez,U2,Vertical,204,031,19
2016,Morelos,Yautepec,U3,Horizontal,7,029,17
2015,Jalisco,Ixtlahuacán de los Membrillos,FC,Horizontal,981,044,14
2016,Michoacán de Ocampo,Tarímbaro,U2,Horizontal,109,088,16
2017,Chihuahua,Nuevo Casas Grandes,U1,Horizontal,22,050,08
2016,Veracruz de Ignacio de la Llave,Emiliano Zapata,U2,Horizontal,124,065,30
2017,Tamaulipas,Altamira,U3,Horizontal,30,003,28
2015,Tlaxcala,Calpulalpan,U1,Horizontal,8,006,29
2015,Hidalgo,Pachuca de Soto,FC,Horizontal,170,048,13
2016,Sinaloa,Mazatlán,FC,Horizontal,14,012,25
2017,México,Coacalco de Berriozábal,U1,Horizontal,1,020,15
2017,Hidalgo,Santiago Tulantepec de Lugo Guerrero,U1,Horizontal,2,056,13
2016,Coahuila de Zaragoza,San Buenaventura,FC,Horizontal,2,031,05
2015,Veracruz de Ignacio de la Llave,Medellín de Bravo,U3,Vertical,48,105,30
2016,Guanajuato,Apaseo el Grande,U2,Vertical,728,005,11
2016,Oaxaca,Guadalupe Etla,FC,Horizontal,2,033,20
2015,Jalisco,La Barca,FC,Horizontal,2,018,14
2016,Jalisco,Ixtlahuacán de los Membrillos,FC,Horizontal,6,044,14
2016,Nuevo León,Juárez,U2,Horizontal,7105,031,19
2015,Oaxaca,Tlacolula de Matamoros,U3,Vertical,24,551,20
2016,Baja California Sur,La Paz,U2,Horizontal,1195,003,03
2016,México,Zumpango,U3,Horizontal,386,120,15
2017,Veracruz de Ignacio de la Llave,Xico,FC,Horizontal,1,092,30
2016,Tabasco,Cárdenas,U1,Horizontal,1,002,27
2015,Jalisco,Magdalena,U2,Horizontal,12,055,14
2015,Hidalgo,Mineral de la Reforma,U3,Horizontal,410,051,13
2015,San Luis Potosí,Soledad de Graciano Sánchez,U2,Horizontal,1206,035,24
2015,Durango,Poanas,FC,Horizontal,6,022,10
2015,Tlaxcala,Yauhquemehcan,U2,Vertical,215,043,29
2015,México,Toluca,FC,Horizontal,75,106,15
2015,Jalisco,El Salto,U1,Vertical,9,070,14
2016,Oaxaca,Oaxaca de Juárez,U1,Horizontal,3,067,20
2015,México,Tecámac,U2,Horizontal,1871,081,15
