ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2015,Querétaro,Tequisquiapan,U3,Vertical,276,017,22
2015,Colima,Villa de Álvarez,FC,Horizontal,6,010,06
2016,Zacatecas,Zacatecas,U2,Horizontal,42,056,32
2017,Morelos,Xochitepec,U3,Horizontal,29,028,17
2017,Puebla,Zacapoaxtla,U3,Horizontal,1,207,21
2015,Hidalgo,Mineral de la Reforma,U2,Vertical,150,051,13
2017,Coahuila de Zaragoza,Monclova,U2,Horizontal,106,018,05
2016,Ciudad de México,Álvaro Obregón,U1,Vertical,38,010,09
2017,Puebla,San Salvador el Verde,U2,Vertical,176,143,21
2017,Puebla,Coronango,U1,Horizontal,213,034,21
2017,Coahuila de Zaragoza,Ramos Arizpe,U3,Horizontal,57,027,05
2017,San Luis Potosí,Soledad de Graciano Sánchez,U2,Vertical,14,035,24
2015,Guanajuato,Irapuato,FC,Horizontal,140,017,11
2016,Veracruz de Ignacio de la Llave,Alvarado,FC,Horizontal,24,011,30
2015,Chiapas,Cintalapa de Figueroa,U2,Horizontal,5,017,07
2015,Michoacán de Ocampo,Purépero,FC,Horizontal,6,070,16
2015,Yucatán,Mérida,U3,Horizontal,946,050,31
2015,Tlaxcala,Huamantla,U2,Horizontal,43,013,29
2016,México,Toluca,U1,Horizontal,155,106,15
2015,Veracruz de Ignacio de la Llave,Minatitlán,U3,Horizontal,50,108,30
2017,San Luis Potosí,Ciudad Valles,U2,Horizontal,14,013,24
2017,Chiapas,Tapachula,U1,Horizontal,6,089,07
2016,Tlaxcala,Xicohtzinco,U1,Horizontal,2,042,29
2017,Sonora,Navojoa,U1,Horizontal,255,042,26
2017,Tabasco,Emiliano Zapata,U2,Horizontal,3,007,27
2015,Nuevo León,El Carmen,U3,Horizontal,651,010,19
2016,Michoacán de Ocampo,Morelia,U2,Vertical,1078,053,16
2015,Coahuila de Zaragoza,Arteaga,U2,Horizontal,1,004,05
2017,Sinaloa,Ahome,U2,Horizontal,346,001,25
2016,Sonora,Hermosillo,U3,Horizontal,1040,030,26
2015,Ciudad de México,Cuauhtémoc,U2,Vertical,174,015,09
2017,Aguascalientes,San Francisco de los Romo,U3,Horizontal,168,011,01
2016,Tlaxcala,Huamantla,U2,Vertical,72,013,29
2016,Tamaulipas,Reynosa,U2,Vertical,69,032,28
2015,Querétaro,San Juan del Río,U3,Horizontal,409,016,22
2016,Querétaro,El Marqués,FC,Vertical,734,011,22
2015,Guanajuato,San Miguel de Allende,U2,Horizontal,17,003,11
2015,Quintana Roo,Benito Juárez,U2,Horizontal,6266,005,23
2016,Morelos,Jiutepec,U2,Vertical,1,011,17
2017,Ciudad de México,Tlalpan,U2,Vertical,7,012,09
2016,Coahuila de Zaragoza,Parras,U2,Vertical,6,024,05
2016,México,Tenancingo,U1,Horizontal,7,088,15
2016,Nuevo León,General Escobedo,U3,Horizontal,191,021,19
2015,Hidalgo,Atotonilco de Tula,U3,Vertical,180,013,13
2015,Puebla,San Salvador el Verde,U2,Horizontal,87,143,21
2016,Coahuila de Zaragoza,Ramos Arizpe,U1,Horizontal,214,027,05
2015,San Luis Potosí,Ciudad Valles,U2,Horizontal,98,013,24
2017,Zacatecas,Guadalupe,U2,Horizontal,488,017,32
2017,Jalisco,Tlajomulco de Zúñiga,U3,Vertical,210,097,14
2017,Chiapas,Arriaga,U1,Horizontal,6,009,07
2016,Ciudad de México,Gustavo A. Madero,U2,Vertical,2,005,09
2016,Morelos,Temixco,U3,Vertical,128,018,17
2016,Guerrero,Chilpancingo de los Bravo,U1,Horizontal,50,029,12
2015,Guanajuato,San Luis de la Paz,U3,Vertical,30,033,11
2015,Jalisco,Jocotepec,U2,Horizontal,1,050,14
2015,Aguascalientes,San Francisco de los Romo,FC,Horizontal,5,011,01
2016,Hidalgo,Tepeapulco,U3,Horizontal,64,061,13
2017,Tamaulipas,Victoria,FC,Horizontal,49,041,28
2015,San Luis Potosí,Ciudad Fernández,U2,Horizontal,1,011,24
2016,Jalisco,Puerto Vallarta,U2,Horizontal,93,067,14
2016,México,La Paz,U1,Horizontal,26,070,15
2015,Morelos,Ayala,U3,Horizontal,58,004,17
2017,Coahuila de Zaragoza,Múzquiz,U3,Horizontal,110,020,05
2017,Hidalgo,Tepeapulco,U2,Horizontal,10,061,13
2016,Aguascalientes,Aguascalientes,U1,Vertical,126,001,01
2016,Veracruz de Ignacio de la Llave,Martínez de la Torre,U2,Horizontal,2,102,30
2017,Oaxaca,Santa Cruz Xoxocotlán,U3,Vertical,200,385,20
